Make,Height,Length,Width,Fuel Type,Classification,Driveline,Number_of_Forward_Gears,City_MPG,Highway_MPG,Horsepower,Torque
Chevrolet,112,22,181,Gasoline,Manual,Rear-wheel drive,5,18,25,185,190
Chevrolet,112,140,181,Gasoline,Manual,Rear-wheel drive,5,18,25,185,190
Chevrolet,120,140,181,Gasoline,Automatic,Rear-wheel drive,4,18,25,185,190
Chevrolet,77,60,219,Gasoline,Automatic,Rear-wheel drive,4,13,17,310,334
Chevrolet,77,60,219,Gasoline,Automatic,All-wheel drive,4,13,17,310,334
Chevrolet,22,60,219,E85,Automatic,Rear-wheel drive,6,8,12,280,295
Chevrolet,22,60,219,E85,Automatic,Rear-wheel drive,6,8,12,324,373
Chevrolet,77,102,237,Gasoline,Automatic,Rear-wheel drive,4,15,20,195,260
Chevrolet,82,215,240,Gasoline,Automatic,Rear-wheel drive,4,14,19,302,305
Chevrolet,85,215,237,Gasoline,Automatic,Rear-wheel drive,4,15,20,195,260
Chevrolet,226,214,173,Gasoline,Manual,Front-wheel drive,5,27,35,108,105
Chevrolet,226,214,173,Gasoline,Manual,Front-wheel drive,5,27,35,108,105
Chevrolet,226,214,173,Gasoline,Automatic,Front-wheel drive,4,25,34,108,105
Chevrolet,226,214,173,Gasoline,Manual,Front-wheel drive,5,27,35,108,105
Chevrolet,226,214,173,Gasoline,Automatic,Front-wheel drive,4,25,34,108,105
Chevrolet,226,79,142,Gasoline,Manual,Front-wheel drive,5,27,35,108,105
Chevrolet,226,79,142,Gasoline,Manual,Front-wheel drive,5,27,35,108,105
Chevrolet,226,79,142,Gasoline,Automatic,Front-wheel drive,4,25,34,108,105
Chevrolet,226,79,142,Gasoline,Manual,Front-wheel drive,5,27,35,108,105
Chevrolet,226,79,142,Gasoline,Automatic,Front-wheel drive,4,25,34,108,105
Chevrolet,109,228,125,Gasoline,Manual,Rear-wheel drive,6,17,28,312,278
Chevrolet,109,228,125,Gasoline,Automatic,Rear-wheel drive,6,19,30,312,278
Chevrolet,109,228,125,Gasoline,Manual,Rear-wheel drive,6,17,28,312,278
Chevrolet,109,228,125,Gasoline,Automatic,Rear-wheel drive,6,19,30,312,278
Chevrolet,109,228,125,Gasoline,Manual,Rear-wheel drive,6,16,24,426,420
Chevrolet,109,228,125,Gasoline,Automatic,Rear-wheel drive,6,15,24,426,420
Chevrolet,109,228,125,Gasoline,Manual,Rear-wheel drive,6,16,24,426,420
Chevrolet,109,228,125,Gasoline,Automatic,Rear-wheel drive,6,16,25,426,420
Chevrolet,96,228,125,Gasoline,Manual,Rear-wheel drive,6,17,28,312,278
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,19,30,312,278
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,18,29,312,278
Chevrolet,96,228,125,Gasoline,Manual,Rear-wheel drive,6,17,28,312,278
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,19,30,312,278
Chevrolet,96,228,125,Gasoline,Manual,Rear-wheel drive,6,17,28,312,278
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,19,30,312,278
Chevrolet,96,228,125,Gasoline,Manual,Rear-wheel drive,6,16,24,426,420
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,16,25,426,420
Chevrolet,96,228,125,Gasoline,Manual,Rear-wheel drive,6,16,24,426,420
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,16,25,426,420
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,15,24,505,470
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,15,24,505,470
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,15,24,505,470
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
