Make,Height,Length,Width,Fuel Type,Classification,Driveline,Number_of_Forward_Gears,City_MPG,Highway_MPG,Horsepower,Torque
Chevrolet,112,22,181,Gasoline,Manual,Rear-wheel drive,5,18,25,185,190
Chevrolet,112,140,181,Gasoline,Manual,Rear-wheel drive,5,18,25,185,190
Chevrolet,120,140,181,Gasoline,Automatic,Rear-wheel drive,4,18,25,185,190
Chevrolet,77,60,219,Gasoline,Automatic,Rear-wheel drive,4,13,18,310,334
Chevrolet,77,60,219,E85,Automatic,All-wheel drive,4,9,12,310,334
Chevrolet,109,228,125,Gasoline,Manual,Rear-wheel drive,6,17,28,323,278
Chevrolet,109,228,125,Gasoline,Automatic,Rear-wheel drive,6,19,30,323,278
Chevrolet,109,228,125,Gasoline,Manual,Rear-wheel drive,6,17,28,323,278
Chevrolet,109,228,125,Gasoline,Automatic,Rear-wheel drive,6,19,30,323,278
Chevrolet,109,228,125,Gasoline,Manual,Rear-wheel drive,6,16,24,426,420
Chevrolet,109,228,125,Gasoline,Automatic,Rear-wheel drive,6,15,24,426,420
Chevrolet,109,228,125,Gasoline,Manual,Rear-wheel drive,6,16,24,426,420
Chevrolet,109,228,125,Gasoline,Automatic,Rear-wheel drive,6,15,24,426,420
Chevrolet,96,228,125,Gasoline,Manual,Rear-wheel drive,6,17,28,323,278
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,19,30,323,278
Chevrolet,96,228,125,Gasoline,Manual,Rear-wheel drive,6,17,28,323,278
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,19,30,323,278
Chevrolet,96,228,125,Gasoline,Manual,Rear-wheel drive,6,16,24,426,420
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,15,24,426,420
Chevrolet,96,228,125,Gasoline,Manual,Rear-wheel drive,6,16,24,426,420
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,15,24,426,420
Chevrolet,96,228,125,Gasoline,Manual,Rear-wheel drive,6,17,28,323,278
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,18,29,323,278
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,15,24,505,470
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,15,24,505,470
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,15,24,505,470
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,212,123,135,Gasoline,Manual,Rear-wheel drive,6,14,21,638,604
Chevrolet,212,123,135,Gasoline,Manual,Rear-wheel drive,6,14,21,638,604
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,212,108,135,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,212,108,135,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,212,108,135,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
